"ent_str","ent_id","ent_type","count"
"united states elections","Q7892459","Election",1
"alberta general election","Q3586283","Election",1
"primary election","Q669262","Election",1
"colombian presidential elections","Q2115187","Election",1
"alberta general election","Q3586300","Election",1
"sub-topic a","Q185407","War",1
"2","Q154605","War",1
"colombian presidential elections","Q5828700","Election",1
"united states elections","Q18164676","Election",1
"united states elections","Q18356746","Election",1
"colombian presidential elections","Q19869721","Election",1
"united states elections","Q7892461","Election",1
"united states elections","Q1751449","Election",1
"election 2016","Q7892465","Election",1
"alberta general election","Q3586301","Election",1
"colombian presidential elections","Q19869711","Election",1
"power grab","Q4460509","Coup",1
"war in afghanistan","Q1519107","War",1
"alberta general election","Q3586297","Election",1
"alberta general election","Q3586303","Election",1
"alberta general election","Q3586302","Election",1
"united states elections","Q18356948","Election",1
"colombian presidential elections","Q5828672","Election",1
"united states elections","Q7892448","Election",1
"united states elections","Q18356975","Election",1
"alberta general election","Q3586288","Election",1
"colombian presidential elections","Q5828683","Election",1
"united states elections","Q1695396","Election",1
"united states elections","Q7892463","Election",1
"united states elections","Q18356902","Election",1
"pacific war","Q184425","War",1
"elections in ukraine","Q1292614","Election",1
"mexican revolution","Q214426","War",1
"united states elections","Q7892426","Election",1
"united states elections","Q2035725","Election",1
"coup attempts","Q25906438","Coup",1
"united states elections","Q18356759","Election",1
"united states elections","Q7892443","Election",1
"united states elections","Q18356944","Election",1
"united states elections","Q7892468","Election",1
"united states elections","Q7892430","Election",1
"united states elections","Q7892454","Election",1
"alberta general election","Q3586304","Election",1
"gulf war i","Q37643","War",1
"algerian war","Q200790","War",1
"colombian presidential elections","Q5828685","Election",1
"united states elections","Q18357028","Election",1
"colombian presidential elections","Q5828677","Election",1
"land war","Q1545405","War",1
"colombian presidential elections","Q5147970","Election",1
"united states elections","Q18356805","Election",1
"western designs","Q2564895","War",1
"united states elections","Q16191983","Election",1
"elections in canada","Q277924","Election",1
"alberta general election","Q3586293","Election",1
"colombian presidential elections","Q2890773","Election",1
"german federal election","Q15062956","Election",1
"united states elections","Q18356768","Election",1
"elections in germany","Q327765","Election",1
"united states elections","Q7892438","Election",1
"1999 finnish parliamentary elections","Q1362533","Election",1
"alberta general election","Q3586305","Election",1
"world war 1","Q361","War",1
"tripartite aggression","Q49101","War",1
"iraq wars","Q545449","War",1
"1","Q154605","War",1
"united states elections","Q7892432","Election",1
"united states elections","Q18356812","Election",1
"united states elections","Q60527703","Election",1
"united states elections","Q18356934","Election",1
"united states elections","Q18357009","Election",1
"augustputsch","Q221382","Coup",1
