"subject_str","subject_id","subject_type","predicate_org","predicate","relation","object_str","object_id","object_type","text"
"lars arendt-nielsen","http://www.wikidata.org/entity/Q30003447","Person",NULL,"award","award received","master's degree","http://www.wikidata.org/entity/Q183816","Award","In 1982, Lars Arendt-Nielsen was awarded a master's degree in Biomedical Sciences and continued his studies at University College London."
"gelber","http://www.wikidata.org/entity/Q96354919","Person",NULL,"win","award received","president","http://www.wikidata.org/entity/Q61061","Award","He is author of ""Objective Troy: A Terrorist, A President, and the Rise of the Drone"", which won the 2016 Lionel Gelber Prize."
"djerassi","http://www.wikidata.org/entity/Q78608","Person",NULL,"win","award received","awards","http://www.wikidata.org/entity/Q66744316","Award","Djerassi won numerous awards during his career including:An award that eluded Djerassi was the Nobel Prize, where he is considered one of the more notable ""snubs"" by the Nobel Committee."
"shamsuddin rahimtoola","http://www.wikidata.org/entity/Q29452548","Person",NULL,"award","award received","lifetime achievement award","http://www.wikidata.org/entity/Q28312048","Award","The Dow University bestowed the 'Lifetime Achievement Award' on Shamsuddin Rahimtoola in 2013 to honor his commitment, dedication and contribution to the institution for over four decades."
"qian xiuling","http://www.wikidata.org/entity/Q19828039","Person",NULL,"win","award received","medal","http://www.wikidata.org/entity/Q38593919","Award","Qian Xiuling (19122008), or Siou-Ling Tsien de Perlinghi, was a Chinese-Belgian scientist who won a medal for saving nearly 100 lives during World War II in Belgium."
"margaret thatcher","http://www.wikidata.org/entity/Q7416","Person",NULL,"win","award received","scholarship","http://www.wikidata.org/entity/Q63390091","Award","At age eleven, Soons won a scholarship to Kesteven and Grantham Girls' School and started in the third form the year that Margaret Thatcher was a prefect at the school."
"howard robert horvitz","http://www.wikidata.org/entity/Q295659","Person",NULL,"award","award received","nobel prize","http://www.wikidata.org/entity/Q7191","Award","Howard Robert Horvitz (born May 8, 1947) is an American biologist best known for his research on the nematode worm ""Caenorhabditis elegans"", for which he was awarded the 2002 Nobel Prize in Physiology or Medicine, together with Sydney Brenner and John E. Sulston, whose ""seminal discoveries concerning the genetic regulation of organ development and programmed cell death"" were ""important for medical research and have shed new light on the pathogenesis of many diseases""."
"paul dirac","http://www.wikidata.org/entity/Q47480","Person",NULL,"award","award received","awards","http://www.wikidata.org/entity/Q66744316","Award","The Institute of Physics, the United Kingdom's professional body for physicists, awards the Paul Dirac Medal for ""outstanding contributions to theoretical (including mathematical and computational) physics""."
"tahmasib hossein ajdarov","http://www.wikidata.org/entity/Q64607858","Person",NULL,"award","award received","degree","http://www.wikidata.org/entity/Q6008527","Award","Tahmasib Hossein Ajdarov was awarded with the degree of Doctor of Economics under the Decree Dated 2002 of the Supreme Attestation Commission of Ukraine."
"di menna","http://www.wikidata.org/entity/Q16019676","Person",NULL,"award","award received","order of merit","http://www.wikidata.org/entity/Q97551638","Award","In 1990, di Menna was awarded the New Zealand 1990 Commemoration Medal, and in the 1997 New Year Honours, she was appointed an Officer of the New Zealand Order of Merit, for services to microbiology."
"einstein","http://www.wikidata.org/entity/Q937","Person",NULL,"award","award received","lifetime achievement award","http://www.wikidata.org/entity/Q28312048","Award","In 2004 he was named R&amp;D Scientist of the Year by R&amp;D Magazine, he received the Einstein award from the Global Business Leadership Council (2006), the Scrip Lifetime Achievement award voted by the leadership of the global pharmaceutical industry (2009) and the ArizonaBioindustry Association Pioneer Award (2016)."
"tahmasib hossein ajdarov","http://www.wikidata.org/entity/Q64607858","Person",NULL,"award","award received","doctor of economics","http://www.wikidata.org/entity/Q11408912","Award","Tahmasib Hossein Ajdarov was awarded with the degree of Doctor of Economics under the Decree Dated 2002 of the Supreme Attestation Commission of Ukraine."
"glover","http://www.wikidata.org/entity/Q23305067","Person",NULL,"award","award received","medal","http://www.wikidata.org/entity/Q38593919","Award","In 2010, Glover was awarded the Bicentenary Medal of the Linnean Society."
"barry marshall","http://www.wikidata.org/entity/Q202136","Person",NULL,"award","award received","medal","http://www.wikidata.org/entity/Q131647","Award","Barry Marshall was awarded the Albert Lasker Award for Clinical Science in 1995 and the Buchanan Medal in 1998."
"galyna mykhailiuk","http://www.wikidata.org/entity/Q66809997","Person",NULL,"award","award received","honorary title","http://www.wikidata.org/entity/Q28457366","Award","On 23 August 2021, President of Ukraine Volodymyr Zelensky signed Decree No. 406/2021, according to which Galyna Mykhailiuk was awarded the honorary title Honoured Lawyer of Ukraine."
"the doctor","http://www.wikidata.org/entity/Q34358","Person",NULL,"win","award received","master","http://www.wikidata.org/entity/Q183816","Award","Kroton won the Glory, the Master was purged from the TARDIS and history was reverted, and the Doctor and Izzy took a well-earned break."
"hugh hampton young","http://www.wikidata.org/entity/Q538771","Person",NULL,"award","award received","award","http://www.wikidata.org/entity/Q66744316","Award","The American Urological Association presents an annual award called the Hugh Hampton Young Award named in his honor."
"griffin","http://www.wikidata.org/entity/Q1423956","Person",NULL,"award","award received","lifetime achievement award","http://www.wikidata.org/entity/Q105727509","Award","In 2016, Griffin was awarded the lifetime achievement award from the Alzheimers Association at its international conference."
