"ent_str","ent_id","ent_type","count"
"jean grey","http://www.wikidata.org/entity/Q108366195","Person",74
"bishop","http://www.wikidata.org/entity/Q683731","Profession",74
"standards","http://www.wikidata.org/entity/Q399495","Language",73
"steele","http://www.wikidata.org/entity/Q2005691","Person",73
"instructor","http://www.wikidata.org/entity/Q16358610","Profession",73
"colorado","http://www.wikidata.org/entity/Q2567055","Language",72
"the philippines","http://www.wikidata.org/entity/Q928","Country",71
"andrew","http://www.wikidata.org/entity/Q109176","Language",70
"invasion","http://www.wikidata.org/entity/Q467011","Award",69
"thompson","http://www.wikidata.org/entity/Q1755054","Language",69
"massachusetts institute of technology","http://www.wikidata.org/entity/Q49108","Language",69
"faith","http://www.wikidata.org/entity/Q109335991","Belief",68
"wilson","http://www.wikidata.org/entity/Q817749","Person",68
"computers","http://www.wikidata.org/entity/Q11202952","Profession",68
"historian","http://www.wikidata.org/entity/Q201788","Profession",67
"norman","http://www.wikidata.org/entity/Q33850","Language",67
"bishop","http://www.wikidata.org/entity/Q311358","Person",67
"writers","http://www.wikidata.org/entity/Q36180","Profession",66
"leaders","http://www.wikidata.org/entity/Q978044","Profession",66
"griffin","http://www.wikidata.org/entity/Q1423956","Person",65
"academy of arts","http://www.wikidata.org/entity/Q2822225","Language",65
"master of science","http://www.wikidata.org/entity/Q950900","Award",65
"mathematician","http://www.wikidata.org/entity/Q170790","Profession",65
"medical college","http://www.wikidata.org/entity/Q10729872","Professional Society",65
"medical college","http://www.wikidata.org/entity/Q10729872","Scientific Society",65
"minor","http://www.wikidata.org/entity/Q28028610","Person",64
"guide","http://www.wikidata.org/entity/Q2314719","Profession",63
"guide","http://www.wikidata.org/entity/Q1039099","Profession",63
"guide","http://www.wikidata.org/entity/Q14290559","Profession",63
"guide","http://www.wikidata.org/entity/Q10556315","Profession",63
"aware","http://www.wikidata.org/entity/Q56876","Language",63
"magnet","http://www.wikidata.org/entity/Q6731415","Person",62
"ireland","http://www.wikidata.org/entity/Q27","Country",62
"ukraine","http://www.wikidata.org/entity/Q212","Country",62
"magnets","http://www.wikidata.org/entity/Q6731415","Person",61
"factor","http://www.wikidata.org/entity/Q104483142","Profession",61
"pacific","http://www.wikidata.org/entity/Q5929270","Language",61
"educator","http://www.wikidata.org/entity/Q974144","Profession",61
"factor","http://www.wikidata.org/entity/Q56599002","Profession",61
"factor","http://www.wikidata.org/entity/Q323336","Profession",61
"professors","http://www.wikidata.org/entity/Q37226","Profession",61
"pacific","http://www.wikidata.org/entity/Q630226","Language",61
"educator","http://www.wikidata.org/entity/Q37226","Profession",61
"politician","http://www.wikidata.org/entity/Q82955","Profession",60
"poland","http://www.wikidata.org/entity/Q36","Country",60
"adviser","http://www.wikidata.org/entity/Q2994387","Profession",60
"stanford","http://www.wikidata.org/entity/Q41506","Language",60
"research associate","http://www.wikidata.org/entity/Q3151032","Profession",60
"nefarious","http://www.wikidata.org/entity/Q15903252","Person",59
"graduate studies","http://www.wikidata.org/entity/Q141212","Award",59
"bachelor of arts","http://www.wikidata.org/entity/Q1765120","Award",59
"synthesis","http://www.wikidata.org/entity/Q48612","Language",59
"diploma","http://www.wikidata.org/entity/Q189533","Award",58
"diploma","http://www.wikidata.org/entity/Q5978719","Award",58
"manager","http://www.wikidata.org/entity/Q1320883","Profession",58
"manager","http://www.wikidata.org/entity/Q2462658","Profession",58
"manager","http://www.wikidata.org/entity/Q6746710","Profession",58
"johns hopkins university","http://www.wikidata.org/entity/Q193727","Language",58
"agent","http://www.wikidata.org/entity/Q392651","Profession",58
"manager","http://www.wikidata.org/entity/Q721834","Profession",58
"diploma","http://www.wikidata.org/entity/Q217577","Award",58
"estate","http://www.wikidata.org/entity/Q1339396","Language",58
"manager","http://www.wikidata.org/entity/Q1240788","Profession",58
"portuguese","http://www.wikidata.org/entity/Q5146","Language",58
"manager","http://www.wikidata.org/entity/Q1186921","Profession",58
"swiss","http://www.wikidata.org/entity/Q39","Country",58
"diploma","http://www.wikidata.org/entity/Q13579013","Award",58
"agent","http://www.wikidata.org/entity/Q323336","Profession",58
"manager","http://www.wikidata.org/entity/Q41583","Profession",58
"manager","http://www.wikidata.org/entity/Q3246315","Profession",58
"manager","http://www.wikidata.org/entity/Q628099","Profession",58
"armenia","http://www.wikidata.org/entity/Q399","Country",57
"agent","http://www.wikidata.org/entity/Q109555060","Profession",57
"the netherlands","http://www.wikidata.org/entity/Q29999","Country",57
"authors","http://www.wikidata.org/entity/Q36180","Profession",57
"japanese","http://www.wikidata.org/entity/Q5287","Language",56
"jackal","http://www.wikidata.org/entity/Q2343504","Person",56
"atomic","http://www.wikidata.org/entity/Q38","Country",56
"jackal","http://www.wikidata.org/entity/Q2584005","Person",56
